vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@0%	F2@0%	F1@10%	F2@10%	F1@20%	F2@20%	F1@30%	F2@30%	F1@40%	F2@40%	F1@50%	F2@50%	F1@60%	F2@60%	F1@70%	F2@70%	F1@80%	F2@80%	F1@90%	F2@90%	F1@100%	F2@100%	nFormants
AY	1	I	817	1420	19.373	19.32	19.46	0.14	41	0	0	0	0	0	N		719	1239	719	1239	737	1253	772	1274	808	1319	814	1470	740	1692	590	1832	540	1646	551	1674	551	1674	5
AA	1	GOT	528	1006	19.577	19.55	19.63	0.08	5	1	4	1	6	0	N		535	1004	535	1004	535	1004	533	999	528	1006	552	1046	610	1059	647	1048	650	1050	650	1050	650	1050	5
AH	0	RECORDED	503	1276	20.19	20.17	20.23	0.06	*	1	6	1	7	2	N		514	1227	514	1227	514	1227	514	1227	506	1269	460	1350	415	1413	424	1420	424	1420	424	1420	424	1420	5
AO	1	RECORDED	543	946	20.357	20.34	20.39	0.05	64	6	4	2	6	4	N		532	948	532	948	532	948	532	948	538	946	552	966	550	1005	549	1013	549	1013	549	1013	549	1013	5
OW	1	SO	598	1731	20.727	20.72	20.82	0.1	63	0	0	0	3	0	N		598	1731	598	1731	598	1731	595	1785	576	1865	544	1929	532	1963	524	1907	512	1880	512	1880	512	1880	5
IY	0	MANY	498	2440	20.96	20.94	21	0.06	12	0	0	0	4	0	N		497	2400	497	2400	497	2400	497	2400	498	2434	494	2495	867	2742	1454	3009	1454	3009	1454	3009	1454	3009	3
AY	1	TIMES	858	1371	21.2	21.14	21.26	0.12	41	4	1	2	3	3	N		782	1390	782	1390	771	1367	761	1179	823	1234	846	1289	868	1444	865	1618	822	1710	815	1717	815	1717	5
AE	1	LAST	795	1163	21.563	21.52	21.65	0.13	3	3	4	1	7	3	N		762	1164	762	1164	762	1164	794	1156	794	1160	797	1165	780	1178	759	1197	802	1451	802	1451	802	1451	5
IH	1	YEAR	519	2208	21.913	21.88	21.98	0.1	14	6	4	2	9	0	N		499	2201	499	2201	499	2201	505	2206	523	2194	597	2150	649	2200	612	2166	607	2144	607	2144	607	2144	5
AH	0	BECAUSE	528	1823	23.243	23.22	23.29	0.07	*	3	4	2	6	0	N		519	1941	519	1941	519	1941	519	1941	528	1823	519	1772	509	1766	500	1751	500	1751	500	1751	500	1751	5
EH	1	EVERYONE	810	1626	23.593	23.56	23.66	0.1	2	3	2	2	0	2	N		665	1658	665	1658	665	1658	750	1688	811	1622	832	1630	852	1646	854	1687	851	1714	851	1714	851	1714	5
IY	0	EVERYONE	496	1989	23.8	23.78	23.84	0.06	11	0	1	2	8	1	N		497	1968	497	1968	497	1968	497	1968	496	1993	495	1887	496	1736	498	1652	498	1652	498	1652	498	1652	4
AH	2	EVERYONE	538	996	23.91	23.89	23.95	0.06	6	4	4	2	9	0	N		521	1008	521	1008	521	1008	521	1008	536	997	564	984	594	976	609	968	609	968	609	968	609	968	5
AH	0	WANTED	537	1911	24.347	24.33	24.38	0.05	*	1	4	2	3	0	N		527	1925	527	1925	527	1925	527	1925	532	1920	536	1860	556	1838	575	1841	575	1841	575	1841	575	1841	5
AY	1	LIKE	816	1412	24.554	24.52	24.61	0.09	47	1	6	1	7	0	N		752	1152	752	1152	752	1152	791	1190	796	1227	816	1385	797	1620	734	1793	692	1885	692	1885	692	1885	5
AH	0	AN	663	1796	24.75	24.73	24.79	0.06	*	4	4	2	0	0	N		621	1792	621	1792	621	1792	621	1792	662	1799	669	1791	672	1781	666	1770	666	1770	666	1770	666	1770	5
AA	1	R	799	1163	24.94	24.87	25.08	0.21	5	0	0	0	0	0	N		821	1411	821	1411	820	1306	799	1194	800	1157	798	1128	797	1101	801	1094	760	1023	694	968	694	968	5
IY	1	P	451	2386	25.273	25.23	25.36	0.13	12	0	0	0	1	0	N		436	2197	436	2197	436	2197	474	2370	440	2390	401	2426	427	2438	427	2419	403	2324	403	2324	403	2324	5
IY	1	SPEAKER	446	2422	25.587	25.55	25.66	0.11	11	1	6	1	1	1	N		464	2244	464	2244	464	2244	474	2413	440	2427	388	2440	376	2450	364	2485	350	2215	350	2215	350	2215	5
AH	0	SPEAKER	574	1808	25.79	25.77	25.83	0.06	*	0	0	0	6	0	N		575	1951	575	1951	575	1951	575	1951	575	1824	556	1672	519	1698	510	1727	510	1727	510	1727	510	1727	5
EH	1	THEIR	777	1732	26.067	26.05	26.1	0.05	2	6	4	2	3	0	N		778	1735	778	1735	778	1735	778	1735	778	1734	773	1722	769	1698	767	1692	767	1692	767	1692	767	1692	5
AO	1	RECORDINGS	459	884	26.383	26.35	26.45	0.1	64	6	4	2	6	4	N		477	1062	477	1062	477	1062	451	932	459	878	460	849	455	855	459	874	467	909	467	909	467	909	6
IH	0	RECORDINGS	553	2436	26.583	26.56	26.63	0.07	1	4	6	2	3	3	N		543	2444	543	2444	543	2444	543	2444	553	2436	556	2457	548	2462	532	2433	532	2433	532	2433	532	2433	3
AH	1	SOUTHERN	707	1234	38.32	38.29	38.38	0.09	6	3	3	2	3	1	N		641	1312	641	1312	641	1312	654	1295	711	1229	733	1217	678	1256	594	1247	576	1248	576	1248	576	1248	5
AH	0	SOUTHERN	515	1551	38.48	38.46	38.52	0.06	*	4	4	2	3	0	N		522	1528	522	1528	522	1528	522	1528	516	1549	501	1583	478	1605	460	1608	460	1608	460	1608	460	1608	5
IH	0	BECAUSE	521	1626	38.637	38.62	38.67	0.05	1	1	6	1	1	1	N		515	1627	515	1627	515	1627	515	1627	518	1627	525	1616	514	1600	509	1596	509	1596	509	1596	509	1596	6
AH	0	BECAUSE	525	1322	38.76	38.73	38.82	0.09	*	3	4	2	6	0	N		518	1300	518	1300	518	1300	525	1293	524	1324	517	1333	508	1309	480	1331	465	1370	465	1370	465	1370	5
IY	0	THE	486	2357	39.067	39.03	39.14	0.11	12	0	0	0	3	0	N		480	2298	480	2298	480	2298	494	2294	484	2364	465	2409	470	2227	555	1880	616	1849	616	1849	616	1849	5
AA	1	XXBATHVOWELXX	777	1065	39.41	39.18	39.87	0.69	5	0	0	0	0	0	N		831	1791	698	1060	827	1156	769	1044	759	1124	751	1068	749	990	733	957	746	1047	623	858	570	1114	6
AA	1	AREN'T	576	1100	40.037	40	40.11	0.11	44	6	4	2	0	1	N		614	1498	614	1498	614	1498	519	1266	595	1099	655	1059	627	1030	629	1035	614	1046	614	1046	614	1046	5
UW	1	YOU	499	1628	40.427	40.41	40.46	0.05	72	0	0	0	9	0	N		488	1668	488	1668	488	1668	488	1668	493	1648	522	1567	558	1546	571	1543	571	1543	571	1543	571	1543	6
AH	0	AND	688	1638	40.48	40.46	40.52	0.06	*	4	4	2	0	3	N		664	1615	664	1615	664	1615	664	1615	686	1633	702	1668	704	1712	697	1718	697	1718	697	1718	697	1718	5
AH	0	THE	773	1492	40.847	40.71	41.12	0.41	*	0	0	0	3	0	N		668	1812	684	1701	778	1553	782	1475	743	1645	723	1712	706	1725	736	1743	675	1705	528	1681	541	1688	5
AH	1	XXSTRUTVOWELXX	836	1188	41.263	41.2	41.39	0.19	6	0	0	0	0	0	N		617	1756	617	1756	546	1776	856	1326	823	1180	806	1156	818	1166	797	1182	792	1179	800	1199	800	1199	5
AH	0	AND	855	1673	41.543	41.51	41.61	0.1	*	4	4	2	0	3	N		932	1958	932	1958	932	1958	950	1900	848	1643	795	1554	789	1554	767	1528	756	1529	756	1529	756	1529	5
AH	0	THE	559	1354	42.103	42.05	42.21	0.16	*	0	0	0	3	0	N		553	1280	553	1280	552	1274	578	1347	561	1340	600	1404	604	1442	566	1493	453	1471	437	1472	437	1472	5
AH	0	ARE	557	1246	45.35	45.33	45.39	0.06	*	0	0	0	0	0	N		552	1235	552	1235	552	1235	552	1235	557	1243	561	1297	553	1393	530	1414	530	1414	530	1414	530	1414	5
AH	0	ARE	571	1484	46.087	46.07	46.12	0.05	*	0	0	0	0	0	N		574	1503	574	1503	574	1503	574	1503	574	1491	553	1499	574	1588	586	1613	586	1613	586	1613	586	1613	5
AH	1	SOUTHERN	651	1178	46.287	46.27	46.32	0.05	6	3	3	2	3	1	N		653	1196	653	1196	653	1196	653	1196	652	1186	650	1164	657	1145	659	1138	659	1138	659	1138	659	1138	5
AH	0	SOUTHERN	617	1384	46.393	46.37	46.44	0.07	*	4	4	2	3	0	N		590	1324	590	1324	590	1324	590	1324	617	1384	629	1407	628	1429	610	1426	610	1426	610	1426	610	1426	5
AY	1	I	812	1262	46.596	46.58	46.64	0.06	41	0	0	0	0	0	N	s	362	1290	362	1290	362	1290	361	1241	605	1173	811	1279	800	1359	768	1357	734	1327	734	1327	734	1327	5
